200,110,90
195,110,88
195,108,86
190,108,86
190,108,84
185,106,84
185,104,82
180,99,78
180,95,76
175,87,71
175,83,67
170,82,64
170,80,62
165,82,59
165,80,57
160,81,54
160,81,54
155,81,52
155,81,48
150,81,48
150,81,46
145,81,44
145,81,42
140,82,40
140,80,38
135,82,37
135,80,35
130,82,34
130,82,32
125,81,30
125,37,24
120,4,34
120,0,48
115,0,55
115,0,59
110,0,64
110,0,66
105,0,66
105,0,64
100,0,64
100,0,62
105,0,62
105,0,62
110,0,64
110,0,64
115,0,64
115,0,68
120,0,67
120,0,69
125,0,69
125,0,71
130,0,70
130,54,70
135,88,70
135,88,77
140,92,83
140,104,78
145,104,70
145,102,68
150,100,61
150,88,57
155,84,50
155,80,51
160,82,49
160,80,50
165,80,51
165,80,52
170,79,52
170,79,55
175,80,54
175,80,57
180,78,57
180,80,60
185,80,58
185,79,61
190,79,61
190,80,62
195,80,63
195,79,65
