200,95,89
195,96,88
195,96,88
190,97,87
190,96,87
185,96,86
185,96,86
180,95,86
180,95,84
175,94,84
175,94,84
170,94,82
170,92,82
165,90,78
165,88,78
160,88,78
160,88,78
155,89,79
155,89,79
150,88,77
150,87,77
145,87,77
145,86,75
140,84,75
140,85,73
135,83,72
135,80,71
130,79,69
130,76,66
125,75,66
125,74,64
120,75,66
120,74,65
115,74,65
115,73,64
110,72,62
110,72,62
105,68,60
105,66,58
100,68,57
100,64,55
105,61,54
105,62,54
110,61,52
110,62,54
115,60,53
115,64,55
120,65,57
120,69,60
125,70,62
125,73,63
130,75,66
130,76,66
135,78,68
135,78,69
140,78,69
140,81,70
145,81,72
145,80,71
150,82,71
150,80,71
155,80,71
155,82,72
160,83,74
160,85,75
165,86,77
165,88,78
170,88,78
170,89,79
175,89,79
175,90,80
180,91,80
180,91,80
185,90,80
185,91,80
190,90,80
190,90,81
195,91,81
195,93,83
